codigo,titulo,tipo,zona,departamento,municipio,hab,banos,parqueos,m2_constr,unidad_m2,terreno,unidad_terreno,precio,moneda,descripcion,url,imagen,lat,lng,geo_tipo
qc3255,Terreno en venta en Esquipulas,Terreno,Esquipulas Km 12,Managua,Managua,,,,,,"1,900.00",Vrs²,75000.00,USD,"Hermoso terreno en venta en esquipulas, ubicado en zona centrica, segura y de fácil acceso",https://www.quierocasa.com/anuncio/qc3255/0/terreno-en-venta-en-esquipulas.htm,https://www.quierocasa.com/gallery/qc3255/350/qc3255-1.jpg,12.0745878,-86.2158151,neighbourhood
qc4410,Precioso terreno en venta en Las colinas,Terreno,Las Colinas,Managua,Managua,,,,,,974.00,Vrs²,58440.00,USD,"Precioso terreno disponible para venta en las colinas, ubicado dentro de residencial céntrico, seguro y silencioso, de fácil acceso, a pocos minutos de centro de compras, escuelas, hospitales, gaso...",https://www.quierocasa.com/anuncio/qc4410/0/precioso-terreno-en-venta-en-las-colinas.htm,https://www.quierocasa.com/gallery/qc4410/350/qc4410-1.jpg,12.1964007,-86.3692092,village
qc3498,Se vende Terreno en Altos de Santo Domingo,Terreno,Santo Domingo,Managua,Managua,,,,,,"1,731.00",Vrs²,95205.00,USD,Hermoso terreno ideal para complejo de apartamentos o bien para construir una hermosa casa.,https://www.quierocasa.com/anuncio/qc3498/0/se-vende-terreno-en-altos-de-santo-domingo.htm,https://www.quierocasa.com/gallery/qc3498/350/qc3498-1.jpg,12.1516383,-86.2663177,administrative
qc4469,Preciosa propiedad en venta en Villa Fontana,Casa,Villa Fontana,Managua,Managua,4,4,10,700.00,Mt²,"3,304.00",Vrs²,950000.00,USD,"Preciosa y moderna propiedad en venta en Villa fontana, ubicada en zona exclusiva, céntrica y segura, de fácil accso, cerca de centro de compras, escuelas, hospitales, restaurantes, gasolineras, tie...",https://www.quierocasa.com/anuncio/qc4469/0/preciosa-propiedad-en-venta-en-villa-fontana.htm,https://www.quierocasa.com/gallery/qc4469/350/qc4469-1.jpg,12.1033874,-86.2671277,administrative
qc4476,Casa en venta en carretera a Masaya,Casa,Carretera a Masaya,Managua,Managua,3,2.5,4,235.00,Mt²,600.00,Vrs²,210000.00,USD,"Amplia casa en venta en Km 12 carretera hacia masaya, excelente ubicacion, residencial seguro, centrico y silencioso, ambiente fresco, con parque y amplio patio seguro, cerca de centro de compras escu...",https://www.quierocasa.com/anuncio/qc4476/0/casa-en-venta-en-carretera-a-masaya.htm,https://www.quierocasa.com/gallery/qc4476/350/qc4476-2.jpg,12.0777949,-86.2231504,trunk
qc4479,Preciosa casa en venta en Gran Pacifica,Casa,GRAN PACIFICA BEACH RESORT,San Rafael del Sur,Managua,3,3,2,,,,,189900.00,USD,"Preciosa y cómoda casa de playa en venta en Gran Pacifica Resort. Ubicada en zona segura y tranquila a tan solo una hora de la ciudad , el complejo más cercano a la ciudad principal Costo especia...",https://www.quierocasa.com/anuncio/qc4479/0/preciosa-casa-en-venta-en-gran-pacifica.htm,https://www.quierocasa.com/gallery/qc4479/350/qc4479-1.jpg,11.8719408,-86.4614726,bus_stop
qc4311,Preciosa casa en venta en San Juan del sur,Casa,San Juan del Sur,Rivas,,4,3.5,2,220.00,Mt²,450.00,Vrs²,350000.00,USD,"Preciosa y moderna casa en venta en San juan del Sur, ubicada en zona exclusiva con excelente vista al mar, de fácil acceso, a pocos minutos de gasolineras, tiendas y farmacias. Sala Comedor Co...",https://www.quierocasa.com/anuncio/qc4311/0/preciosa-casa-en-venta-en-san-juan-del-sur.htm,https://www.quierocasa.com/gallery/qc4311/350/qc4311-1.jpg,11.1943967,-85.8597572,administrative
qc4444,Vive en estilo: Casa en venta con encanto en la carretera Masaya,Casa,Carretera a Masaya,Managua,Managua,3,3.5,10,230.00,Mt²,"3,900.00",Vrs²,275000.00,USD,"Amplia y hermosa propiedad en venta, ubicada a solo 40 metros de carretera Masaya, en zona céntrica, segura y silenciosa, de fácil acceso, cerca de centro de compras, hospitales, escuelas, supermerc...",https://www.quierocasa.com/anuncio/qc4444/0/vive-en-estilo-casa-en-venta-con-encanto-en-la-carretera-masaya.htm,https://www.quierocasa.com/gallery/qc4444/350/qc4444-1.jpg,12.0777949,-86.2231504,trunk
qc3928,Casa en venta en Gran Pacifica,Casa,GRAN PACIFICA BEACH RESORT,San Rafael del Sur,Managua,3,2.5,2,312.62,Mt²,918.76,Vrs²,346500.00,USD,"Preciosa casa en venta en Gran Pacifica Beach Resort. ubicada en zona de fácil acceso, a pocos minutos de gasolineras farmacias y tiendas.",https://www.quierocasa.com/anuncio/qc3928/0/casa-en-venta-en-gran-pacifica.htm,https://www.quierocasa.com/gallery/qc3928/350/qc3928-1.jpg,11.8719408,-86.4614726,bus_stop
qc3992,Complejo de oficinas en venta en carretera sur,Oficina,Carretera Sur,Managua,Managua,,3,10,680.00,Mt²,"2,232.24",Vrs²,189000.00,USD,"Espaciosas y modernas oficinas en venta en carretera Sur, con amplias bodegas y estacionamiento. ubicada en zona céntrica y de fácil acceso, cerca de farmacias, estaciones de servicio, bancos y tien...",https://www.quierocasa.com/anuncio/qc3992/0/complejo-de-oficinas-en-venta-en-carretera-sur.htm,https://www.quierocasa.com/gallery/qc3992/350/qc3992-2.jpg,12.1412787,-86.2953782,trunk
qc4426,Moderna y minimalista casa en venta,Casa,Colegio Americano,Managua,Managua,3,3.5,2,210.00,Mt²,,,184000.00,USD,"Moderna y minimalista casa en venta por colegio Americano, ubicada dentro de condominio seguro, centrico y tranquilo, de fácil acceso, cerca de centro de compras, hospitales, escuelas, tiendas, resta...",https://www.quierocasa.com/anuncio/qc4426/0/moderna-y-minimalista-casa-en-venta.htm,https://www.quierocasa.com/gallery/qc4426/350/qc4426-1.jpg,12.1120237,-86.2777957,school
qc4174,Precioso terreno dentro de condominio en las colinas,Terreno,Las Colinas,Managua,Managua,,,,,,739.00,Vrs²,60000.00,USD,"Hermoso terreno listo para construir la casa de tus sueños! Eeste bello terreno esta ubicado en uno de los mejores condominios de managua, mismo que cuenta con piscina, areas verdes y juegos infantil...",https://www.quierocasa.com/anuncio/qc4174/0/precioso-terreno-dentro-de-condominio-en-las-colinas.htm,https://www.quierocasa.com/gallery/qc4174/350/qc4174-1.jpg,12.1964007,-86.3692092,village
qc4389,Preciosa propiedad en venta en Carretera Sur,Casa,Carretera Sur,Managua,Managua,5,5,2,"1,050.00",Mt²,"10,500.00",Vrs²,1350000.00,USD,"Preciosa propiedad en venta en Carretera Sur, ideal para embajadas, residencial familiar o proyecto ubicada en zona segura y de fácil acceso, a pocos minutos de supermercados, hospitales, escuelas, g...",https://www.quierocasa.com/anuncio/qc4389/0/preciosa-propiedad-en-venta-en-carretera-sur.htm,https://www.quierocasa.com/gallery/qc4389/350/qc4389-1.jpg,12.1412787,-86.2953782,trunk
qc4095,Preciosa casa en venta en Lomas de Monserrat,Casa,Lomas de Montserrat,Managua,Managua,4,4,5,326.00,Mt²,,,450000.00,USD,"Preciosa casa de lujo en venta en Lomas de Monserrat, ubicada en zona céntrica, segura y de fácil acceso, cerca de centro de compras, restaurantes, supermercados, estaciones de servicio, hospitales,...",https://www.quierocasa.com/anuncio/qc4095/0/preciosa-casa-en-venta-en-lomas-de-monserrat.htm,https://www.quierocasa.com/gallery/qc4095/350/qc4095-1.jpg,12.1547116,-86.2737250,administrative
