titulo,precio,tamano_lote,tipo_unidad_lote,source,localizacion,coordenadas,enlace,barrio_colonia,municipio_ciudad,departamento_provincia
"Masaya, NIC, Apoyo Resort Laguna de Apoyo, Masaya, Laguna de Apoyo, NIC",110000,646.45,SQ_MT,kwnicaragua.com,Si,"11.91740387424046,-86.05928037643852",https://kwnicaragua.kw.com/property/Apoyo-Resort-Laguna-de-Apoyo-Masaya-Laguna-de-Apoyo-NIC/1991612051696320,,Catarina,Masaya
"Managua, NIC, Managua, Managua, NIC",140000,155.36,SQ_MT,kwnicaragua.com,Si,"12.0901597,-86.24904810000001",https://kwnicaragua.kw.com/property/Managua-Managua-NIC/2004022810289408,El mirador Santo Domingo,Managua,Managua
"managua, NIC, 19 # carretera norte KM 13 carretera Norte, managua, Managua 11064",30000,115,SQ_MT,kwnicaragua.com,Si,"12.1504856,-86.1549984",https://kwnicaragua.kw.com/property/19-carretera-norte-KM-13-carretera-Norte-managua-Managua-11064/1992822654795968,Monte Fresco,Managua,Managua
"Managua, NIC, VILLA FLOR SUR, Managua, Managua 14117",25000,139,SQ_MT,kwnicaragua.com,Si,"12.119452,-86.22315479999999",https://kwnicaragua.kw.com/property/VILLA-FLOR-SUR-Managua-Managua-14117/2007227428218904,Anexo Barrio Enrique Smith,Managua,Managua
"Managua, NIC, Managua, MN, NIC",110000,264.24,SQ_MT,kwnicaragua.com,Si,"12.044603765719541,-86.19158842813016",https://kwnicaragua.kw.com/property/Managua-MN-NIC/1694020978254336,Residencial Villa Franca,Nindirí,Masaya
"Managua, NIC, Managua, MN, NIC",250000,736.9,SQ_MT,kwnicaragua.com,Si,"12.087593112111943,-86.234918438501",https://kwnicaragua.kw.com/property/Managua-MN-NIC/1875200896412800,Urbanización Madrid,Managua,Managua
"Managua, NIC, #barrio solidaridad manzana #12 lote #75, Managua, MN, NIC",75000,207.17,SQ_MT,kwnicaragua.com,Si,"12.094649107481946,-86.30456575277863",https://kwnicaragua.kw.com/property/barrio-solidaridad-manzana-12-lote-75-Managua-MN-NIC/2008612301132444,,Managua,Managua
"Chinandega, NIC, #Chinandega , Chinandega, Chinandega, NIC",280000,2669.87,SQ_MT,kwnicaragua.com,Si,"12.651197426581646,-87.12356049999998",https://kwnicaragua.kw.com/property/Chinandega-Chinandega-Chinandega-NIC/2008327987839644,Estela,Chinandega,Chinandega
"Jinotepe, NIC, Jinotepe, Carazo, NIC",73000,211.82,SQ_MT,kwnicaragua.com,Si,"11.848754978320553,-86.19198875338134",https://kwnicaragua.kw.com/property/Jinotepe-Carazo-NIC/1984108690821184,Anexo a Pilas Grande,Jinotepe,Carazo
"Managua, NIC, Carretera Vieja a León, Managua, MN, NIC",25000,963.72,SQ_MT,kwnicaragua.com,Si,"12.093990116373659,-86.33669916217914",https://kwnicaragua.kw.com/property/Carretera-Vieja-a-Len-Managua-MN-NIC/1960249286602688,Comarca Cedro Galán,Managua,Managua
