id,titulo,zona,categoria,precio,moneda,hab,banos,m2,lote_vrs,url,imagen,municipio,departamento,lat,lng,geo_tipo,municipio,departamento,lat,lng,geo_tipo
13952,Casa con acabados de lujo en venta en Santo Domingo,Santo Domingo,46,430000,USD,4,4.5,370,486.6,https://discovernica.com/propiedades/detalles/13952/se-vende-casa-2-pisos-en-santo-domingo,https://discovernica.com/assets/images/properties/ID13952_4_.jpg,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
12784,Casa en venta y renta en Carretera a Masaya ID12784,Carretera a Masaya,46,210000,USD,3,3.5,217,330.86,https://discovernica.com/propiedades/detalles/12784/se-vende-renta-casa-carretera-a-masaya- 3-habiatciones-3.5-baños,https://discovernica.com/assets/images/properties/IMG_6579.JPG,Masaya,,,,,Masaya,,,,
14372,Se vende/renta casa con piscina en Villa Fontana,Villa Fontana,46,400000,USD,3,3,360,670,https://discovernica.com/propiedades/detalles/14372/se-renta-venta-casa-en-villa-fontana-con-piscina,https://discovernica.com/assets/images/properties/ID14372.png,Managua,Managua,12.1033874,-86.2671277,administrative,Managua,Managua,12.1033874,-86.2671277,administrative
13428,Se Vende/Renta casa en Villa Fontana,Villa Fontana,2,265000,USD,4,4.5,394.59,1157.89,https://discovernica.com/propiedades/detalles/13428/Casa en Venta y Renta apta para negocio o para residir,https://discovernica.com/assets/images/properties/ID_13428_3_.jpg,Managua,Managua,12.1033874,-86.2671277,administrative,Managua,Managua,12.1033874,-86.2671277,administrative
14901,Amplia casa en venta en Las Colinas,Las Colinas,2,299000,USD,3,3.5,380,1300,https://discovernica.com/propiedades/detalles/14901/casa-venta-las-colinas-3-habitaciones,https://discovernica.com/assets/images/properties/14901_11.png,Mateare,Managua,12.1964007,-86.3692092,village,Mateare,Managua,12.1964007,-86.3692092,village
10941,Se vende amplia casa en Bolonia,Bolonia,2,218000,USD,4,3,205,712,https://discovernica.com/propiedades/detalles/10941/casa-venta-bolonia-4-habitaciones,https://discovernica.com/assets/images/properties/10941_3.png,Managua,Managua,12.1398941,-86.2815427,administrative,Managua,Managua,12.1398941,-86.2815427,administrative
14197,Casas en venta en Villa Fontana Sur,Villa Fontana Sur,46,240000,USD,3,2,195,400,https://discovernica.com/propiedades/detalles/14197/dos-casas-venta-villa-fontana-sur,https://discovernica.com/assets/images/properties/IMG_20250327_WA0002_2_.jpg,Managua,Managua,12.1033874,-86.2671277,administrative,Managua,Managua,12.1033874,-86.2671277,administrative
14919,Se vende amplia casa con piscina en Carretera a Masaya,Carretera a Masaya,46,670000,USD,5,7,800,3892.026,https://discovernica.com/propiedades/detalles/14919/casa-pisos-venta-piscina-carretera-a-masaya,https://discovernica.com/assets/images/properties/14919_1.png,Masaya,,,,,Masaya,,,,
13754,Casa en venta en zona céntrica de Managua,zona céntrica de Managua,2,350000,USD,3,2.5,415,1650,https://discovernica.com/propiedades/detalles/13754/casa-venta-centro-de-Managua,https://discovernica.com/assets/images/properties/ID13754_7.jpg,,,,,,,,,,
13800,Casa en venta en Reparto San Juan,Reparto San Juan,2,195000,USD,5,5,388.39,806.03,https://discovernica.com/propiedades/detalles/13800/Se-vende-casa-en-reparto-san-juan,https://discovernica.com/assets/images/properties/a785e359_b751_43a1_9e5d_8b74b3dc1dd8.jpeg,Managua,Managua,12.1219000,-86.2697106,administrative,Managua,Managua,12.1219000,-86.2697106,administrative
14579,Moderna casa en venta en Carretera Sur,Carretera Sur,2,285000,USD,3,2.5,228,1200,https://discovernica.com/propiedades/detalles/14579/casa-venta-carretera-sur-3-habitaciones,https://discovernica.com/assets/images/properties/IMG_20250902_WA0163.jpg,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
14947,Casa de estilo contemporáneo en venta/renta en Carretera Sur,Carretera Sur,2,300000,USD,4,3.5,420.90,1704.69,https://discovernica.com/propiedades/detalles/14947/casa-venta-renta-carretera-sur-3-habitaciones,https://discovernica.com/assets/images/properties/14947_2.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
14633,Amplia casa en venta en Carretera Sur,Carretera Sur,2,230000,USD,4,4,360.99,1215.08,https://discovernica.com/propiedades/detalles/14633/casa-amplia-venta-carretera-sur,https://discovernica.com/assets/images/properties/ID14633_2.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
15128,Casa en venta en Santo Domingo - Zona exclusiva,Santo Domingo,2,245000,USD,3,3.5,180,570.31,https://discovernica.com/propiedades/detalles/15128/casa-venta-santo-domingo-3-habitaciones,https://discovernica.com/assets/images/properties/15128_4.png,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
14162,Amplia casa en venta en Santo Domingo,Santo Domingo,2,295000,USD,4,3,499.78,1750,https://discovernica.com/propiedades/detalles/14162/casa-venta- santo-domingo,https://discovernica.com/assets/images/properties/ID14162.jpg,Managua,Managua,12.1516383,-86.2663177,administrative,Managua,Managua,12.1516383,-86.2663177,administrative
14092,Se vende casa moderna en Las Colinas,Las Colinas,2,265000,USD,3,2.5,236.35,782.62,https://discovernica.com/propiedades/detalles/14092/las-colinas-casa-moderna-venta-3-habitaciones,https://discovernica.com/assets/images/properties/ID14092_1.jpg,Mateare,Managua,12.1964007,-86.3692092,village,Mateare,Managua,12.1964007,-86.3692092,village
13223,"Casa en Venta en los Robles, frente a la calle.",los Robles,2,280000,USD,4,3,566.37,1426.35,"https://discovernica.com/propiedades/detalles/13223/casa en los robles en venta, 4 habitaciones, 3 baños.",https://discovernica.com/assets/images/properties/64df414e_4d42_4e3e_a58e_1bbeaea5a003.jpg,Managua,Managua,12.1212007,-86.2653351,administrative,Managua,Managua,12.1212007,-86.2653351,administrative
15151,Casa-Quinta en venta sobre la Carretera Masaya –Tipitapa,,32,460000,USD,7,6.5,1061.95,2256.38,https://discovernica.com/propiedades/detalles/15151/casa-quinta-venta-carretera-masaya-tipitapa-7-habitaciones,https://discovernica.com/assets/images/properties/15151_2.png,Managua,Managua,12.1547116,-86.2737250,administrative,Managua,Managua,12.1547116,-86.2737250,administrative
14398,Cómoda casa en venta en Las Colinas,Las Colinas,46,270000,USD,3,3.5,300,920,https://discovernica.com/propiedades/detalles/14398/casa-venta-las-colinas-3-habitaciones,https://discovernica.com/assets/images/properties/ID14398_9.png,Mateare,Managua,12.1964007,-86.3692092,village,Mateare,Managua,12.1964007,-86.3692092,village
14103,Se vende rancho con potencial comercial y residencial en Tisma,Tisma,32,450000,USD,4,5.5,843.88,95506.84,https://discovernica.com/propiedades/detalles/14103/venta-de-rancho-en-tisma,https://discovernica.com/assets/images/properties/Imagen_de_WhatsApp_2025_01_27_a_las_12.47.11_0213f587.jpg,,,,,,,,,,
7525,Se vende/renta amplia casa en Carretera Sur,Carretera Sur,2,330000,USD,4,4,420,915,https://discovernica.com/propiedades/detalles/7525/casa-amplia-dos-pisos-venta-renta-carretera-sur,https://discovernica.com/assets/images/properties/7525_1.png,Managua,Managua,12.1442663,-86.2915488,trunk,Managua,Managua,12.1442663,-86.2915488,trunk
13765,Casa en venta en Las Colinas,Las Colinas,2,370000,USD,5,3.5,480,2552,https://discovernica.com/propiedades/detalles/13765/Casa en venta en Las Colinas,https://discovernica.com/assets/images/properties/7_ID13765.jpg,Mateare,Managua,12.1964007,-86.3692092,village,Mateare,Managua,12.1964007,-86.3692092,village
14698,Acogedora casa en venta en Villa Fontana,Villa Fontana,46,170000,USD,3,3,228,500,https://discovernica.com/propiedades/detalles/14698/casa-venta-dos-pisos-villa-fontana-3-habitaciones,https://discovernica.com/assets/images/properties/14698_4.png,Managua,Managua,12.1033874,-86.2671277,administrative,Managua,Managua,12.1033874,-86.2671277,administrative
9916,Se vende casa en zona residencial - Carretera a Masaya,zona residencial,2,150000,USD,3,2,140,1389.21,https://discovernica.com/propiedades/detalles/9916/casa-venta-residencial-carretera-a-masaya,https://discovernica.com/assets/images/properties/casa_venta_residencial_puertas_del_sol_managua_id_9987_1.jpg,Managua,Managua,12.0878512,-86.1991653,playground,Managua,Managua,12.0878512,-86.1991653,playground
15123,Venta de Viviendas en Condominio Residencial con Diseños Modernos,,2,150000,USD,3,4,,242.55,https://discovernica.com/propiedades/detalles/15123/Venta-de-Viviendas-en-Condominio-Residencial-con-Diseños-Modernos,https://discovernica.com/assets/images/properties/REDIDENCIAL_19_.png,Managua,Managua,12.1547116,-86.2737250,administrative,Managua,Managua,12.1547116,-86.2737250,administrative
15129,Casa en venta en carretera a Granada,carretera a Granada,2,41600,USD,1,1,147.25,440,https://discovernica.com/propiedades/detalles/15129/Casa-venta-carretera-a-granada,https://discovernica.com/assets/images/properties/15129_1.png,Granada,,,,,Granada,,,,
14512,Casa en Venta en Reparto Fátima - León,Reparto Fátima,2,150000,USD,3,2,182,385,https://discovernica.com/propiedades/detalles/14512/Casa-en-Venta-en-Reparto-Fátima-León,https://discovernica.com/assets/images/properties/ID14512_1.png,,,,,,,,,,
14994,Casa en venta en Lomas del Sur,Lomas del Sur,2,95000,USD,3,2,75.30,456.64,https://discovernica.com/propiedades/detalles/14994/casa-venta-lomas-del-sur-3-habitaciones,https://discovernica.com/assets/images/properties/14994_1.png,Managua,Managua,12.1031361,-86.3083212,neighbourhood,Managua,Managua,12.1031361,-86.3083212,neighbourhood
