id,codigo,titulo,tipo,operacion,zona,departamento,municipio,hab,banos,garaje,precio,moneda,url,imagen,lat,lng,geo_tipo
57206,,"Casa en Venta ticuantepe, managua",Casa,venta,ticuantepe,managua,,,,,36000.00,USD,https://momotomborealestate.com/property/casa-en-venta-ticuantepe-managua-8/,https://momotomborealestate.com/wp-content/uploads/properties/6718_20140924095001068.jpg?v=1752646508,12.0217671,-86.2053144,administrative
47558,,"Casa en Venta pista el mayoreo, managua",Casa,venta,pista el mayoreo,managua,,,,,39000.00,USD,https://momotomborealestate.com/property/casa-en-venta-pista-el-mayoreo-managua/,https://momotomborealestate.com/wp-content/uploads/properties/8071_20160505102253668.jpg?v=1752641952,12.1373091,-86.1969118,bus_stop
57385,,"Casa en Venta ciudad de leon, leon",Casa,venta,ciudad de leon,leon,,,,,45000.00,USD,https://momotomborealestate.com/property/casa-en-venta-ciudad-de-leon-leon/,https://momotomborealestate.com/wp-content/uploads/properties/6693_20170505105204547.jpg?v=1752646565,12.1407927,-86.3335359,industrial
57405,,"Casa en Renta villa fontana, managua",Casa,renta,villa fontana,managua,,,,,1200.00,USD,https://momotomborealestate.com/property/casa-en-renta-villa-fontana-managua-23/,https://momotomborealestate.com/wp-content/uploads/properties/6689_20140604142209815.jpg?v=1752646570,12.1033874,-86.2671277,administrative
57417,,"Casa en Venta carretera norte, managua",Casa,venta,carretera norte,managua,,,,,90000.00,USD,https://momotomborealestate.com/property/casa-en-venta-carretera-norte-managua-15/,https://momotomborealestate.com/wp-content/uploads/properties/6687_20170224162617787.jpg?v=1752646573,12.1508415,-86.2262204,trunk
48421,,"Casa en Venta Carretera A Masaya, Managua",Casa,venta,Carretera A Masaya,Managua,,,,,135000.00,USD,https://momotomborealestate.com/property/casa-en-venta-carretera-a-masaya-managua-105/,https://momotomborealestate.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-16-at-14.20.08-1-584x438.jpeg?v=1781644782,12.0777949,-86.2231504,trunk
57619,,"Casa en Renta las colinas, managua",Casa,renta,las colinas,managua,,,,,1100.00,USD,https://momotomborealestate.com/property/casa-en-renta-las-colinas-managua-53/,https://momotomborealestate.com/wp-content/uploads/properties/56176-584x438.jpeg?v=1752646626,12.1964007,-86.3692092,village
49403,,"Casa en Renta reparto el carmen, managua",Casa,renta,reparto el carmen,managua,,,,,800.00,USD,https://momotomborealestate.com/property/casa-en-renta-reparto-el-carmen-managua/,https://momotomborealestate.com/wp-content/uploads/properties/7800_20170603130132494.jpg?v=1752642853,12.1438972,-86.2862301,administrative
57763,,"Casa en Venta diriamba, carazo",Casa,venta,diriamba,carazo,,,,,200000.00,USD,https://momotomborealestate.com/property/casa-en-venta-diriamba-carazo-8/,https://momotomborealestate.com/wp-content/uploads/properties/6641_20170418170444038.jpg?v=1752646749,11.6947004,-86.3812383,administrative
46208,,"Casa en Venta carretera a veracruz, managua",Casa,venta,carretera a veracruz,managua,,,,,100000.00,USD,https://momotomborealestate.com/property/casa-en-venta-carretera-a-veracruz-managua-15/,https://momotomborealestate.com/wp-content/uploads/properties/8267_20160516095431775.jpg?v=1752641229,12.0932894,-86.1617105,secondary
58127,,"Casa en Venta Las Colinas, Managua",Casa,venta,Las Colinas,Managua,,,,,285000.00,USD,https://momotomborealestate.com/property/casa-en-venta-las-colinas-managua-44/,https://momotomborealestate.com/wp-content/uploads/2026/06/1-18-584x438.jpeg?v=1782152869,12.1964007,-86.3692092,village
58148,,"Casa en Venta reparto san juan, managua",Casa,venta,reparto san juan,managua,,,,,190000.00,USD,https://momotomborealestate.com/property/casa-en-venta-reparto-san-juan-managua-13/,https://momotomborealestate.com/wp-content/uploads/properties/15584738451-584x405.jpg?v=1752646899,12.1219000,-86.2697106,administrative
48576,,"Casa en Renta Altos De Santo Domingo, Managua",Casa,renta,Altos De Santo Domingo,Managua,,,,,1800.00,USD,https://momotomborealestate.com/property/casa-en-venta-renta-altos-de-santo-domingo-managua-2/,https://momotomborealestate.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-20-at-11.56.29-584x438.jpeg?v=1781978984,12.0832267,-86.2465055,administrative
