id,titulo,slug,loc,precio,moneda,hab,banos,lote,area,url,imagen,municipio,departamento,lat,lng,geo_tipo
33841,madriz nicaragua somoto,casa-en-venta-somoto-madriz-nicaragua/,madriz nicaragua somoto,140000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-somoto-madriz-nicaragua/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/WhatsApp-Image-2025-04-09-at-3.45.04-PM-copia-525x328.jpeg,Somoto,Madriz,13.5436645,-86.6483120,administrative
33805,las colinas managua nicaragua,casa-en-las-colinas-managua-nicaragua-2/,las colinas managua nicaragua,95000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-en-las-colinas-managua-nicaragua-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/30481910_295aa9.webp,Managua,Managua,12.1547116,-86.2737250,administrative
33775,masaya nindiri,casa-en-venta-en-nindiri-masaya/,masaya nindiri,110000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-en-nindiri-masaya/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/WhatsApp-Image-2025-03-18-at-9.03.04-PM-2-1-525x328.jpeg,Nindirí,Masaya,12.0004214,-86.1232738,industrial
33759,santo domingo managua,casa-en-nicaragua-santo-domingo-managua/,santo domingo managua,190000,USD,,3.5,,,https://www.sovinic.com.ni/propiedades/casa-en-nicaragua-santo-domingo-managua/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/Lumii_20250211_164948904-525x328.jpg,Managua,Managua,12.1533856,-86.2586730,car_parts
33738,santo domingo nicaragua,casas-en-santo-domingo-nicaragua/,santo domingo nicaragua,520000,USD,,4.5,,,https://www.sovinic.com.ni/propiedades/casas-en-santo-domingo-nicaragua/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/480316200_1051439417000704_8700681595476095912_n-525x328.jpg,,,,,
33734,km carretera a masaya,casa-en-venta-km-16-carretera-a-masaya/,km carretera a masaya,220000,USD,,3.5,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-km-16-carretera-a-masaya/,https://www.sovinic.com.ni/wp-content/uploads/2025/08/WhatsApp-Image-2025-01-19-at-10.17.34-AM-1-scaled-1-525x328.jpeg,Masaya,Masaya,12.0899119,-86.2342842,bus_stop
33659,santo domingo,casa-en-venta-santo-domingo-2/,santo domingo,185000,USD,,3.5,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-santo-domingo-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/IMG-20241028-WA0256-525x328.jpg,,,12.3716996,-84.9389262,administrative
33594,calle principal de nueva guinea,venta-de-propiedad-en-calle-principal-de-nueva-guinea/,calle principal de nueva guinea,220000,USD,,2,,,https://www.sovinic.com.ni/propiedades/venta-de-propiedad-en-calle-principal-de-nueva-guinea/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/WhatsApp-Image-2024-09-09-at-1.37.32-PM-7-525x328.jpeg,,,11.7261146,-84.2798977,unclassified
33566,carretera a veracruz,casa-en-venta-carretera-a-veracruz-2/,carretera a veracruz,80000,USD,,2,,,https://www.sovinic.com.ni/propiedades/casa-en-venta-carretera-a-veracruz-2/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/WhatsApp-Image-2024-08-31-at-7.23.41-AM-525x328.jpeg,,,12.0631901,-86.1895331,secondary
33501,altagracia,casa-amplia-para-habitar-u-oficinas-en-altagracia/,altagracia,93000,USD,,3,,,https://www.sovinic.com.ni/propiedades/casa-amplia-para-habitar-u-oficinas-en-altagracia/,https://www.sovinic.com.ni/wp-content/uploads/2025/07/Lumii_20230806_094638602-525x328.jpg,,,11.5174356,-85.5122366,administrative
